,,,
,Work Package Ref,Service Reference,Work Package
,Work Package L - Miscellaneous FM Services,L.10,"135.4.8. Move-out processes, to include building condition surveys and assessments; capturing final meter readings and reporting of missing or damaged furniture or equipment items;"
,Work Package L - Miscellaneous FM Services,L.10,135.4.9. Vacant / Unoccupied Property Preparation;
,Work Package L - Miscellaneous FM Services,L.10,"135.4.10.                     Vacant / Unoccupied Property Management, to include property inspections, fault reporting, planned maintenance, grounds maintenance, energy and utility management, payment of utility bills, provision of security Services and interface with third party suppliers; "
,Work Package L - Miscellaneous FM Services,L.10,"135.4.11.                     Stock management, including storage, issue and collection of all furniture and equipment items as required, condition reporting and interface with third party providers;"
,Work Package L - Miscellaneous FM Services,L.10,"135.4.12.                     Reporting, to include attendance at Employer and Stakeholder meetings, performance reports, expenditure and spend analysis, occupation levels, building conditions, vacant accommodation availability, building condition reports and customer satisfaction levels; and"
,Work Package L - Miscellaneous FM Services,L.10,135.4.13.                     Customer satisfaction and compliant management. 
,Work Package L - Miscellaneous FM Services,L.10,135.5.                  Further details of these requirements will be provided at Call-Off stage.
,Work Package L - Miscellaneous FM Services,L.10,135.6.                  The Supplier shall interface with the Buyer and ensure that all requests associated with property modifications and adaptations linked to a special need or disability of the occupant at the Buyer Premises is managed effectively. These works will be managed via the Billable Works Process and be outside the Charges. 
,Work Package L - Miscellaneous FM Services,L.10,135.7.                  Further details of the requirement will be provided at Call-Off stage.
,Work Package L - Miscellaneous FM Services,L.10,"135.8.                  Where it is necessary for the Buyer to interact with an insurance company in order to make a Claim from a third party, the Supplier shall act on behalf of the Buyer and carry out all necessary actions to complete the Claim and ensure that all subsequent repairs are completed satisfactory.  This shall include:"
,Work Package L - Miscellaneous FM Services,L.10,135.8.1. Undertaking a full investigating the incident; 
,Work Package L - Miscellaneous FM Services,L.10,135.8.2. Recording full details including photographic evidence;
,Work Package L - Miscellaneous FM Services,L.10,135.8.3. Establishing details of the third party;  
,Work Package L - Miscellaneous FM Services,L.10,"135.8.4. Certifying that where applicable, all repairs undertaken by third-parties on behalf of the insurer fully meet and are compliant with the Standards of the Employer; and "
,Work Package L - Miscellaneous FM Services,L.10,135.8.5. The management of the claims process to ensure that all Costs are recovered from the insurer on behalf of the Buyer as appropriate.
